,index,YEAR,MONTH_NAME,EPISODE_ID,EVENT_ID,LOCATION,STATE,EVENT_TYPE,BEGIN_DATE_TIME,END_DATE_TIME,LATITUDE,LONGITUDE,BEGIN_LAT,BEGIN_LON,END_LAT,END_LON,MAGNITUDE,FLOOD_CAUSE,TOR_F_SCALE,Month_Num,Month_Day,geometry,index_right,city,state_id,state_name,lat,lng
27,17994,2024,January,187660,1153458,KALIHI,HAWAII,Flood,08-JAN-24 14:48:00,08-JAN-24 17:48:00,21.3352,-157.8982,21.3385,-157.8986,21.3355,-157.8996,,Heavy Rain,,1,2024-01-08,POINT (-1508277.1398964461 17511654.116571676),3047,Halawa,HI,Hawaii,21.3753,-157.9185
28,17995,2024,January,187660,1153458,KALIHI,HAWAII,Flood,08-JAN-24 14:48:00,08-JAN-24 17:48:00,21.3355,-157.8996,21.3385,-157.8986,21.3355,-157.8996,,Heavy Rain,,1,2024-01-08,POINT (-1508121.5049329698 17511638.58916653),3047,Halawa,HI,Hawaii,21.3753,-157.9185
29,21884,2024,January,188238,1158261,CLAIBORNE,LOUISIANA,Flash Flood,08-JAN-24 18:00:00,08-JAN-24 19:00:00,30.4617,-90.0977,30.38,-90.0199,30.4631,-90.032,,Heavy Rain,,1,2024-01-08,POINT (-7751070.098163767 10578551.9153352),3612,Covington,LA,Louisiana,30.481,-90.1122
30,23415,2024,January,188320,1157603,ROSEVINE,TEXAS,Thunderstorm Wind,08-JAN-24 12:32:00,08-JAN-24 12:32:00,31.42,-93.97,31.42,-93.97,31.42,-93.97,52.0,,,1,2024-01-08,POINT (-7433763.462930388 11241923.322693156),12845,Hemphill,TX,Texas,31.3431,-93.8511
31,17513,2024,January,188494,1158436,FAWIL,TEXAS,Thunderstorm Wind,08-JAN-24 17:20:00,08-JAN-24 17:20:00,30.73,-93.72,30.73,-93.72,30.73,-93.72,50.0,,,1,2024-01-08,POINT (-7584697.819586949 11230341.763405655),9872,Newton,TX,Texas,30.8503,-93.7536
32,17512,2024,January,188494,1158435,BUNA,TEXAS,Thunderstorm Wind,08-JAN-24 16:47:00,08-JAN-24 16:47:00,30.47,-93.96,30.47,-93.96,30.47,-93.96,50.0,,,1,2024-01-08,POINT (-7628445.207853441 11285733.924160236),10499,Buna,TX,Texas,30.4458,-93.9625
33,17511,2024,January,188494,1158434,BATSON,TEXAS,Thunderstorm Wind,08-JAN-24 16:05:00,08-JAN-24 16:05:00,30.25,-94.61,30.25,-94.61,30.25,-94.61,50.0,,,1,2024-01-08,POINT (-7644838.794500729 11413570.567142881),23366,Hull,TX,Texas,30.1464,-94.6422
34,17510,2024,January,188494,1158433,COLMESNEIL,TEXAS,Thunderstorm Wind,08-JAN-24 16:04:00,08-JAN-24 16:04:00,30.92,-94.42,30.92,-94.42,30.92,-94.42,50.0,,,1,2024-01-08,POINT (-7516221.3975894945 11344778.329752414),18148,Colmesneil,TX,Texas,30.9097,-94.4221
35,17509,2024,January,188493,1158431,HACKBERRY,LOUISIANA,Thunderstorm Wind,08-JAN-24 11:57:00,08-JAN-24 11:57:00,29.98,-93.34,29.98,-93.34,29.98,-93.34,50.0,,,1,2024-01-08,POINT (-7756664.099982222 11196519.416714752),15961,Hackberry,LA,Louisiana,29.9717,-93.3947
36,17508,2024,January,188493,1158430,GORDON,LOUISIANA,Thunderstorm Wind,08-JAN-24 18:25:00,08-JAN-24 18:25:00,30.48,-93.38,30.48,-93.38,30.48,-93.38,50.0,,,1,2024-01-08,POINT (-7650111.818304016 11180892.030843712),9048,DeQuincy,LA,Louisiana,30.449,-93.4456
